,0,1,2,3,4,5
50,"목소리 서유리인듯...웃긴거보니.
나타샤 김정난인가",댄디대디,2023-02-16T02:26:32Z,2023-02-16T02:28:45Z,0,ZfK9ER8Xh7w
51,음주운전 홍보대사 잘어울리실것같아요 장훈님  허재형님 현주엽형님이랑 같이하시는게 더 좋을것같아요,노노노,2023-02-16T02:21:27Z,2023-02-16T02:21:49Z,1,ZfK9ER8Xh7w
52,서장훈은 이제는 여자 못만나고 평생 혼자살듯 누가 쟤랑 같이 살고싶겠음? ㅋㅋ,PARK Mr,2023-02-16T02:21:20Z,2023-02-16T02:21:20Z,0,ZfK9ER8Xh7w
53,털털하게 살어 강박증 걸린놈아 식구들도 안오는게 자랑이냐,양영자,2023-02-16T02:18:57Z,2023-02-16T02:18:57Z,0,ZfK9ER8Xh7w
54,"저 정도면.....  사회 생활 포기하고   인간관계  다 끊어야 하는 거 아닌가??....  
.",SooHyeon Kim,2023-02-16T02:17:38Z,2023-02-16T02:17:38Z,0,ZfK9ER8Xh7w
55,생각 밖으로 말이 엄청 없으실줄 알았는데 많으신 모습을 보니깐 다행입니다,지성,2023-02-16T02:14:05Z,2023-02-16T02:14:05Z,0,ZfK9ER8Xh7w
56,깨끗하고 너무 좋다~~깔끔한 남자가   매력있죠!,박은혜,2023-02-16T02:09:47Z,2023-02-16T02:09:47Z,0,ZfK9ER8Xh7w
57,노잼,J.H.K,2023-02-16T02:03:42Z,2023-02-16T02:03:42Z,0,ZfK9ER8Xh7w
58,저도 심하진 않지만 비슷한 부류인데  일단 촬영팀 장비  전선들 바닥에 놓인거 부터 거슬림. 😆,NOMAD,2023-02-16T02:03:08Z,2023-02-16T02:03:08Z,0,ZfK9ER8Xh7w
59,인기급상승동영상 1위 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사람들 진짜 궁금했나보다,김유림,2023-02-16T02:00:41Z,2023-02-16T02:00:41Z,0,ZfK9ER8Xh7w
60,무슨 반도체 공장 들어가듯이 청결복장 ㅎ,sky& land,2023-02-16T02:00:30Z,2023-02-16T02:00:30Z,1,ZfK9ER8Xh7w
61,서장훈님집에 외부인들이는건 지금 엄청난결심을하신거네,김유림,2023-02-16T01:57:21Z,2023-02-16T01:57:21Z,0,ZfK9ER8Xh7w
62,"깨끗한척이 아니고 컨셉을 저리 잡은거네 저렇게 깨끗하다고 하는사람 막상 집에가면 정리정돈 그자리 10년째 그대로임
먼지만 털고 ㅋ",HJ,2023-02-16T01:56:41Z,2023-02-16T01:56:41Z,1,ZfK9ER8Xh7w
63,와... 요즘시대에 입 다물고 씹어 먹는 화면을 보다니... 와 !!!  너무너무 맘에 든다...,Anna Kim,2023-02-16T01:41:08Z,2023-02-16T01:41:08Z,0,ZfK9ER8Xh7w
64,박나래같은데?아닌가?ㅋㅋㅋ,두리안이세상을구한다,2023-02-16T01:32:18Z,2023-02-16T01:32:18Z,1,ZfK9ER8Xh7w
65,이제점점 저렇게 늙어가는건가,Qjan,2023-02-16T01:27:37Z,2023-02-16T01:27:37Z,0,ZfK9ER8Xh7w
66,나타샤 누구에여? ㅋㅋ,love love,2023-02-16T01:12:06Z,2023-02-16T01:12:06Z,2,ZfK9ER8Xh7w
67,재밌다~~순삭이네~,도토리,2023-02-16T01:09:37Z,2023-02-16T01:09:37Z,0,ZfK9ER8Xh7w
