video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags,origin_index
NjLqAv5Mc8s,24,Entertainment,너 치료된 거야,1533354,45521,2022-10-05 10:00:14+00:00,#김풍,110
RS9uUvos8wk,24,Entertainment,이동진 평론가의 영화 한 줄 평 월드컵,1155303,13291,2022-10-04 15:39:17+00:00,#주호민,111
SOBGRF5Mxxw,24,Entertainment,인터뷰를 통한 공업적 최루법,2026038,21516,2022-10-03 10:00:14+00:00,#주호민,112
3btkx7wZsrg,24,Entertainment,일일DJ 전무님의 쿡방,885974,12423,2022-10-01 10:00:02+00:00,#김풍,113
x9jyYAUuSN8,24,Entertainment,나 납치된 거야,821726,12162,2022-09-30 10:07:28+00:00,#주호민 #주우재,114
-xICFR9I6Ls,24,Entertainment,전무님과 (하나도 빼지)마라샹궈,2467448,19432,2022-09-25 10:00:00+00:00,#김풍,117
OGWNs2_waVA,24,Entertainment,과학 그리고 보약왕과 해적왕,848030,7998,2022-09-24 10:00:24+00:00,#김풍,118
EAJkJvk5Yf4,24,Entertainment,통닭천사의 간장국수,1629912,15696,2022-09-21 10:00:08+00:00,#통닭천사,119
Q3ob1KGR_L0,24,Entertainment,수요 없는 공급,745447,9362,2022-09-20 10:00:25+00:00,#통닭천사,120
7IohMJH6gnU,24,Entertainment,너희 중에 돌을 던져라,772130,8784,2022-09-17 10:00:05+00:00,#김풍,123
LanQClV6QVo,24,Entertainment,쫄병 박정민 배우와 연기 이야기,900272,11589,2022-09-15 10:00:09+00:00,#박정민,124
FEmu10X3Va4,24,Entertainment,쫄병 박정민 배우와 학창시절 이야기,1036673,12803,2022-09-14 10:00:10+00:00,#박정민,125
qFrfD_Bws7g,24,Entertainment,'공포의 과학' 특강 | 제2부 시청자 사연 분석,1455152,10627,2022-09-07 10:00:33+00:00,#박정민,127
iDdqWPSimzA,24,Entertainment,'공포의 과학' 특강 | 제1부 아셨죠? 공포는 자신감,1472815,15546,2022-09-06 10:00:21+00:00,#박정민,128
KvQDLomh6jA,24,Entertainment,농구실력과 모근량의 상관관계,708743,7965,2022-09-03 10:00:19+00:00,#카더가든,129
eixLlnY-TrA,24,Entertainment,이름이 많은 사람,1092261,12865,2022-09-02 10:00:24+00:00,#카더가든,130
YLxRBicbGh4,24,Entertainment,돌아온 고마운 최고민수,1142617,10440,2022-08-31 10:00:20+00:00,#최고민수,132
e7Ary2grhNI,24,Entertainment,클리셰 짤 월드컵,1395713,15960,2022-08-30 10:00:31+00:00,#주호민,133
Dir_UEnBZBI,24,Entertainment,배도라지 외모 순위 & 삼대장 투표,645382,7545,2022-08-04 10:00:13+00:00,#배도라지,140
xF8X-JWXFOw,24,Entertainment,써브웨이 전문가,2098916,17934,2022-07-27 10:00:39+00:00,#김풍 #주호민,144
5FpmyEp7QFk,24,Entertainment,의외로 진지한 상담소,1940931,21372,2022-07-25 10:00:05+00:00,#김풍 #주호민,145
qDP65CUQ28Y,24,Entertainment,찌질의 역사 작업이 끝난 전무님,1128764,10788,2022-07-24 10:00:35+00:00,#김풍 #주호민,146
