video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags,origin_index
IwbOoHByJrE,24,Entertainment,유튜브 로딩사태와 크롬 무기징역,773111,10,2022-12-30 10:00:17+00:00,None,57
ezq0MpTPQ1A,24,Entertainment,댓글창 '나가뒈져' 사태를 추억하며,688074,10,2022-12-24 10:00:16+00:00,None,62
MBepsQF1viY,24,Entertainment,시청자가 알려주는 와인 설명회,727646,10,2022-12-18 10:00:09+00:00,None,66
4xWfyfdiCAQ,24,Entertainment,칼국수는 모두 다 장칼국수로 만들어야,714241,10,2022-12-17 10:00:05+00:00,None,67
zvyBXnXfQXs,24,Entertainment,월드컵 개막전과 지스타 방문 후기,416836,10,2022-11-27 10:00:37+00:00,None,78
tdmX1lV0JjQ,24,Entertainment,나르시시스트에게 복수하는 법,805741,10,2022-11-26 10:00:30+00:00,None,79
zOLE3mr9NbA,24,Entertainment,침착맨의 군대 이야기,1040347,10,2022-11-25 10:00:47+00:00,None,80
oK2BWRNXH80,24,Entertainment,초밥 먹으며 초밥왕 이야기,682903,10,2022-11-16 10:00:29+00:00,None,87
78ggQXQyjLE,24,Entertainment,이론상 몇 끼까지 가능한가,1172699,10,2022-11-07 10:00:03+00:00,None,92
KmRpq5GvYZo,24,Entertainment,인공지능과의 연애,567884,10,2022-11-02 10:00:11+00:00,None,96
Txe8JhWiP2c,24,Entertainment,포스트 아포칼립스를 알아보자,944164,10,2022-10-22 10:00:17+00:00,None,101
ff_qPSkhcZQ,24,Entertainment,병건: 매벌이,593621,14,2022-10-20 10:00:34+00:00,None,103
ZB3WjdDvJ_k,24,Entertainment,라면계의 평양냉면,847721,14,2022-10-09 10:00:30+00:00,None,107
SjkeRCZjNIw,24,Entertainment,작사가 김이나 초대석,1136077,14,2022-09-28 10:00:18+00:00,None,115
Zhj4Xi9sYuM,24,Entertainment,왜 웹툰 작가들은 카페를 차릴까?,845911,14,2022-09-26 10:00:31+00:00,None,116
OX6u_W7rFAU,24,Entertainment,미연시의 탈을 쓴 다큐멘터리,1782864,14,2022-09-19 10:00:11+00:00,None,121
rm5920KKzmM,24,Entertainment,일본을 다녀온 준빈쿤 근황,1923548,14,2022-09-18 10:00:40+00:00,None,122
a7DXVJfaDXQ,24,Entertainment,보석털이 브이로그,1004943,14,2022-09-08 10:00:00+00:00,None,126
HgckUXFzbCo,24,Entertainment,침착맨의 호캉스,760692,14,2022-09-01 10:00:11+00:00,None,131
JD-TLZvNE9Q,24,Entertainment,모범시민의 운전법,1242550,14,2022-08-29 10:00:13+00:00,None,134
uwfgqZAZQoc,24,Entertainment,육개장과 조삼모사 보쌈,479547,14,2022-08-23 10:00:29+00:00,None,135
UCbddul8sJk,24,Entertainment,침착맨 냉라면 vs 시청자 요리,774806,14,2022-08-22 10:00:13+00:00,None,136
